user_id,text_duplicate,final
4470633014.0,"Blame CHINA &amp; the Poorly Prepared @NYGovCuomo &amp; Mayor of NYC @BilldeBlasio
They Alone exceed the deaths of every other NATIONS Deaths!
@AmbassadorRice 

Susan Rice Blames President Trump for American Coronavirus Deaths — and Blatantly Lies in the Process - https://t.co/FmM7yOQOhM",blame china amp the poorly prepared amp mayor nyc alone exceed the death every nation death susan rice blame president trump american coronavirus death blatantly lie the process
64378935.0,"@StephenKing, Don't ever be sorry. You inspired me to start reading again, and right now people need voices like yours. There are some who are trying to steer people wrong. You help them see the truth. In many ways. Best to you &amp; yours and stay safe 💗✌ https://t.co/cdVCoiZKTh",dont ever sorry inspire to start reading right people need voice like try to steer people wrong help see the truth many way best to amp stay safe
7.43207309669634e+17,Join @CMGirmayZahilay and I for a live conversation on how the COVID-19 crisis has impacted our communities! This is the second live Q and A our campaign is hosting to get information and resources out to the people! #RepresentationMatters https://t.co/Us8cGtu3Q5 https://t.co/EmALpNDExD,join live conversation the covid19 crisis impact community the second live q campaign host to get information resource out to the people representationmatters
27821963.0,"If you thought the podcast wave was big before #COVID19 Ha! 

Coronavirus said “hold my beer” https://t.co/Wdmks9mE3K",thought the podcast wave big covid19 ha coronavirus say  hold beer
303895671.0,"I’ve not seen, much less hugged, my grandchildren, who live in Starkville😔 Doctor son in AL said to treat everyone as if they had COVID-19. #StayHome #StayPostive #PrayingForFrontliners",see much less hug grandchild live starkville doctor son al say to treat everyone covid19 stayhome staypostive prayingforfrontliners
40986153.0,"New Vlog! Escape from LA: A #coronavirus #roadtrip 

Link: https://t.co/pC8eX7mWUW

#COVID19 #COVIDー19 #CoronavirusOutbreak #vlog #vlogger #vlogging #SocialDistanacing #socialanxiety #Quarantine https://t.co/WyuYBVLsKR",new vlog escape from la coronavirus roadtrip link covid19 covid19 coronavirusoutbreak vlog vlogger vlogging socialdistanacing socialanxiety quarantine
43648080.0,"Ended my 4th week of working from home. I'm #grateful for a good job working for a great agency.  I'm grateful for my health and health of my family.  

And my heart goes out to those whose lives have been upended by the #COVIDー19 virus.  Stay strong.  

#coronavirus",end 4th week work from home im grateful good job work great agency im grateful health health family heart go out to whose life upended the covid19 virus stay strong coronavirus
3096894558.0,Trump could face international human rights law consequences for his coronavirus pandemic response #Topbuzz https://t.co/hgMrsuEx52,trump could face international human right law consequence coronavirus pandemic response topbuzz
3096894558.0,"Republican group attacks president for golfing during coronavirus outbreak: ""Trump just didn't care"" #Topbuzz https://t.co/RogzSg7kcQ ⛳ golfing before and during. Campaign rallys calling it hoax and democrats fault. 😝",republican group attack president golfing coronavirus outbreak trump didnt care topbuzz golfing campaign rally call hoax democrat fault
182871547.0,Running away from the #coronavirus like... https://t.co/eF0Eu1PHp1,run away from the coronavirus like
203690706.0,"US coronavirus cases surpass 500,000 with more than 18,600 deaths https://t.co/QfCKpA0RZV via @WFSBnews",u coronavirus case surpass 500000 18600 death via
2218751787.0,Holy crab! Thank you @JimmysSeafood for making my coronavirus #StayHome in Boston a little tastier! Your crab cakes were AMAZING!! For once @Facebook ads lived up to the hype. #crabfordays #coronaviruscooking #supportrestaurants 🦀💙 https://t.co/xPWdi0QWC8,holy crab thank make coronavirus stayhome boston little tastier your crab cake amaze ad live to the hype crabfordays coronaviruscooking supportrestaurants
169657367.0,"California’s coronavirus curve is flattening, but don’t get complacent, officials say https://t.co/d5O38VMNSj",california  coronavirus curve flatten  get complacent official say
260555829.0,I just took action with @UniteBlue: Ending live coverage of Trump during COVID-19 briefings. Take action here: https://t.co/X1fXLE44FH,take action end live coverage trump covid19 briefing take action
60532573.0,"""Every sunrise gives us one more day to Hope.""
- Sen. Wil Castro
.
Joint Information Center Release No. 67
April 10, 2020, 9:35PM, there are a total of 41 Cases Recovered.
For inquiries on COVID-19, contact 311… https://t.co/hXbxj73y0x",every sunrise give u one day to hope sen wil castro joint information center release no 67 april 10 2020 935pm total 41 case recover inquiry covid19 contact 311…
1.2321618570347602e+18,JUST IN: Number of confirmed coronavirus cases worldwide reaches 1.7 million,number confirm coronavirus case worldwide reach 17 million
41040537.0,Anyone else start getting tan lines from the lights in the refrigerator? #COVID19Pandemic #coronavirus,anyone else start get tan line from the light the refrigerator covid19pandemic coronavirus
742776930.0,"Like the grounding of the 737 Max, who’s going to be the guy that says, it’s safe again!  Go about your business.  Not going to happen. #coronavirus",like the ground the 737 max  go to the guy say  safe go your business go to happen coronavirus
365097211.0,I now understand how 2007 Britney felt #OverQuarantine #LetMeOut #coronavirus,understand 2007 britney felt overquarantine letmeout coronavirus
1.2366366492217344e+18,To have a sense of humor this day's with this coronavirus. Is to have no sense at all .because this is not a joke anymore🗽🤔 https://t.co/5DN3DeuFvA,to sense humor day coronavirus to no sense at joke anymore
1.2366366492217344e+18,@BNightengale I don't think that is a good idea. Because all they're doing is getting all those people infected. And all those people will die. From this deadly disease coronavirus. But I guess that money is more important. That people live. 🗽🤔,dont think good idea theyre get people infect people die from deadly disease coronavirus guess money important people live
205605459.0,Communities of color are disproportionately being impacted by the Covid-19 virus. #covid19 #coronavirus #SanBernardino https://t.co/WLkEoHo2Lr,community color disproportionately impact the covid19 virus covid19 coronavirus sanbernardino
7.337379525982085e+17,"@Savnbrit I was terrified yesterday having to test for Covid &amp; her being sick never thought I'd say I'm relieved she has Scarlett fever Strep. My test isnt back, another 3-4 days but feeling confident we will be fine. I'm 3 doses into antibiotic &amp; feeling much better. Her fever is down❤",terrify yesterday to test covid amp sick never thought id say im relieve scarlett fever strep test isnt back another 34 day feel confident fine im 3 dos antibiotic amp feel much well fever
7.337379525982085e+17,@Nina888881 I haven't got Covid test back but it's highly likely it's just strep. She's my little shadow &amp; can't get her to not drink out of my cup she sneaks &amp; we spend 80% of time together. I'm already feeling dramatically better after 3rd dose of antibiotics👍They put her on them too❤,havent get covid test back highly likely strep shes little shadow amp cant get to drink out cup sneak amp spend 80 time together im already feel dramatically well 3rd dose antibioticsthey put
16514154.0,"4/4 If not, the new connection with your core values will fuel your courage to help you find a way to persevere, survive, &amp; eventually thrive. 
#qotd #quoteoftheday #insta #life #covid #anxiety #stressrelief #evolvedcaveman 
https://t.co/cm8tCFl9hr",44 the new connection your core value fuel your courage to help find way to persevere survive amp eventually thrive qotd quoteoftheday insta life covid anxiety stressrelief evolvedcaveman
3176796534.0,"I gotta say, that is the look of insanity, without a doubt ! 🤪🤪🤪🤪🤪🤪🤪🤪🤪 https://t.co/eRcfHUguFN",get ta say the look insanity without doubt
3176796534.0,Another example why democrats can't be trusted ! https://t.co/wZIF8mSv3f,another example democrat cant trust
1282328353.0,"https://t.co/HtmPn6evvd

19,000 have died in U.S. a country of 327,000,000.  100,000 people worldwide of 7.8 billion people and why are we freaking out?  80% are 65 or older and most with underlying conditions so why is the media trying to scare us to death?
#openupthecountry",19000 die u country 327000000 100000 people worldwide 78 billion people freak out 80 65 old underlie condition the medium try to scare u to death openupthecountry
498993866.0,@Longsidehoney It’s a fun way to talk about it. The little guy is our governor and the lady is our director of health. They have Covid-19 updates everyday and the interpreter has been seen dancing in the screen behind him. They have been tough since the beginning but also warm as they talk.,fun way to talk the little guy governor the lady director health covid19 update everyday the interpreter see dance the screen behind tough since the begin also warm talk
